   668 Dora             -           C  96  1 0  0 -        s44e2b  11.80 2.7967 0.1978 0.1362 02.7981 0.2314  06.8423
   669 Kypria           -           LS 75  2 0  0 LS       sc1c14  10.24 3.0114 0.0763 0.1832 03.0093 0.0814  10.7832
   676 Melitta          -           C  22  1 0  0 -        sc1407  09.30 3.0593 0.1075 0.2061 03.0589 0.1255  12.8659
   680 Genoveva         -           C  82  1 0  0 -        s282e1  09.31 0.0000 0.0000 0.0000 03.1619 0.2822  17.5912
   681 Gorgo            -           L  52  1 0  1 -        sbd81d  11.00 3.1099 0.0870 0.2175 03.1062 0.1034  12.5641
   691 Lehigh           -           X  90  1 0  0 -        sc1ecc  09.30 3.0118 0.0902 0.2054 03.0122 0.1179  13.0258
   699 Hela             -           XL 48  1 0  0 -        s0ab37  11.72 0.0000 0.0000 0.0000 02.6151 0.4072  15.3022
   700 Auravictrix      -           S  89  1 0  0 -        secd87  11.20 2.2295 0.1535 0.1082 02.2291 0.1044  06.7877
   726 Joella           -           X  00  1 0  0 -        s0398b  10.57 2.5666 0.2048 0.2905 02.5650 0.2851  15.4100
   727 Nipponia         -           C  90  1 0  0 -        s390c5  09.62 2.5674 0.0881 0.2502 02.5667 0.1060  15.0527
   728 Leonisis         -           S  99  4 1  0 LSQ      se278d  12.80 2.2538 0.1356 0.0636 02.2546 0.0873  04.2574
   735 Marghanna        -           C  31  1 0  0 -        sc2e95  09.55 2.7282 0.2705 0.2782 02.7299 0.3217  16.8781
   741 Botolphia        -           X  71  2 0  0 XD       sc5cd1  10.40 2.7200 0.1084 0.1290 02.7198 0.0671  08.4256
   744 Aguntina         -           C  85  1 0  0 -        s1a517  10.21 3.1757 0.1415 0.1186 03.1698 0.1216  07.7063
   746 Marlu            -           C  98  1 0  0 -        s0735d  10.00 0.0000 0.0000 0.0000 03.1057 0.2415  17.5093
   748 Simeisa          -           X   7  1 0  0 -        s37c71  09.01 0.0000 0.0000 0.0000 03.9361 0.1885  02.2581
   761 Brendelia        -           S  95  2 0  0 LS       s2de48  10.83 2.8632 0.0449 0.0368 02.8628 0.0640  02.1624
   763 Cupido           -           LS 56  1 0  0 -        s1b7b8  12.50 2.2407 0.1311 0.0816 02.2408 0.1656  04.0860
   764 Gedania          -           C  00  1 0  0 -        se2567  09.48 3.1856 0.0977 0.1914 03.1879 0.1060  10.0725
   781 Kartvelia        -           X  50  1 0  0 -        s05301  09.40 0.0000 0.0000 0.0000 03.2210 0.1109  19.1728
   792 Metcalfia        -           X  99  2 1  0 CX       s214ae  10.33 2.6220 0.1604 0.1690 02.6218 0.1329  08.6097
   803 Picka            -           D  98  1 0  0 -        s3850a  09.60 3.2034 0.0448 0.1686 03.1973 0.0657  08.6855
   805 Hormuthia        -           C  92  2 0  0 CX       s0bedd  09.82 3.2098 0.1631 0.2660 03.1922 0.1885  15.7189
   811 Nauheima         -           LS 14  1 0  0 -        s1bfd3  10.78 2.8969 0.0616 0.0397 02.8962 0.0760  03.1362
   815 Coppelia         -           X  56  1 0  0 -        s04384  10.70 2.6588 0.0977 0.2273 02.6582 0.0755  13.8705
   819 Barnardiana      -           S  84  1 0  0 -        sdd5f4  11.90 2.1976 0.1146 0.0850 02.1975 0.1419  04.8959
   821 Fanny            -           C  90  1 0  0 -        scf232  11.84 2.7761 0.2349 0.0990 02.7773 0.2071  05.3777
   832 Karin            -           S  62  1 0  0 -        sed59e  11.18 2.8644 0.0439 0.0367 02.8658 0.0788  01.0053
   835 Olivia           -           C  82  1 0  0 -        s1e3a6  11.90 3.2080 0.0885 0.0833 03.2173 0.0912  03.7079
   836 Jole             -           S  97  2 1  0 LS       s044cf  13.60 2.1900 0.1481 0.0883 02.1902 0.1762  04.8414
   843 Nicolaia         -           S  65  1 0  0 -        s443ad  13.60 2.2791 0.1558 0.1356 02.2789 0.2093  07.9946
   844 Leontina         -           X  96  1 0  0 -        s44f7f  09.40 3.1954 0.0718 0.1605 03.2016 0.0708  08.7872
   853 Nansenia         -           C  99  2 1  0 CX       sea37c  11.67 2.3124 0.1198 0.1610 02.3125 0.1066  09.2151
   854 Frostia          -           V  82  2 0  0 SQV      s240f9  12.10 2.3682 0.1635 0.1120 02.3687 0.1741  06.0906
   855 Newcombia        -           S  99  1 0  0 -        sba899  11.80 2.3615 0.1809 0.1831 02.3612 0.1791  10.9055
   859 Bouzareah        -           X  73  2 0  0 CX       sc1f49  09.60 3.2117 0.1165 0.2249 03.2268 0.1052  13.5107
   865 Zubaida          -           L  89  1 0  0 -        s143d3  11.90 2.4166 0.2476 0.2337 02.4177 0.1938  13.3125
   867 Kovacia          -           C  55  1 0  0 -        s2d067  11.30 3.0660 0.1423 0.0947 03.0631 0.1326  05.9833
   869 Mellena          -           C  94  1 0  0 -        s0dc65  12.40 2.6917 0.2304 0.1340 02.6930 0.2157  07.8383
   871 Amneris          -           L  35  1 0  1 -        sd8146  12.10 2.2221 0.1484 0.0717 02.2217 0.1198  04.2520
   872 Holda            -           X  74  1 0  0 -        sb8b68  09.91 2.7314 0.1207 0.1310 02.7334 0.0793  07.3633
   877 Walkure          -           C  26  1 0  1 -        sf2fae  10.71 2.4871 0.1180 0.0591 02.4857 0.1606  04.2568
   881 Athene           -           L  73  1 0  0 -        s07cc1  10.30 2.6119 0.1734 0.2576 02.6137 0.2063  14.1834
   884 Priamus          -           D  32  1 0  0 -        sbb959  08.81 0.0000 0.0000 0.0000 05.1602 0.1220  08.9272
   891 Gunhild          -           D  74  1 0  0 -        s45cee  09.90 2.8605 0.0389 0.2158 02.8608 0.0282  13.5408
   919 Ilsebill         -           C  99  1 0  0 -        sf45a0  11.30 2.7722 0.0492 0.1552 02.7714 0.0863  08.1503
   920 Rogeria          -           X  82  1 0  0 -        sb6700  11.19 2.6223 0.1187 0.2081 02.6235 0.1045  11.5728
   926 Imhilde          -           C  75  2 0  0 CX       sf2005  10.30 2.9804 0.2394 0.2522 02.9905 0.1744  16.2649
   933 Susi             1927 CH     C  00  1 0  0 -        s0062d  11.80 2.3686 0.2066 0.0857 02.3693 0.1637  05.5307
   938 Chlosinde        -           C  98  1 0  0 -        sf2ed2  10.80 3.1606 0.1594 0.0269 03.1505 0.1942  02.6695
   943 Begonia          -           C  99  1 0  0 -        s38138  09.77 3.1219 0.2284 0.1789 03.1186 0.2100  12.1058
   950 Ahrensa          -           S  91  2 1  0 LS       s3d721  11.60 0.0000 0.0000 0.0000 02.3725 0.1584  23.4561
   959 Arne             -           X  83  1 0  0 -        s2540d  10.20 3.1827 0.1909 0.0608 03.1860 0.2145  04.4969
   961 Gunnie           -           C  94  1 0  0 -        s3aa13  11.30 2.6929 0.0673 0.1856 02.6920 0.0937  10.9846
   962 Aslog            -           S  96  4 1  0 CLSQ     sd764f  11.52 2.9057 0.0624 0.0351 02.9036 0.1021  02.6025
   964 Subamara         -           S  20  1 0  0 -        s32b56  10.90 3.0524 0.0903 0.1488 03.0516 0.1178  09.0582
   966 Muschi           -           S  81  1 0  0 -        s438d1  09.91 2.7194 0.1517 0.2261 02.7206 0.1278  14.3917
